00124121000145;MEDICAL CENTER;R CEL LINHARES 950;ALDEOTA;60170075;FORTALEZA;CE;
00126864000154;CONDOMINIO ED VILLA VERDE;R CARLOS VASCONCELOS 2889;JOAQUIM TAVORA;60115044;FORTALEZA;CE;
00126881000191;CONDOMINIO ED AYRTON FERNANDES;R D EXPEDITO LOPES 2595;DIONISIO TORRES;60135410;FORTALEZA;CE;
00129407000113;HARBOUR VILLAGE;R LEONARDO MOTA 1356;ALDEOTA;60170041;FORTALEZA;CE;
00135637000195;CONDOMINIO ED REC DAS ACACIAS III;R FRANCOIS TELES DE MENEZES 50;FATIMA;60415110;FORTALEZA;CE;
00144647000197;CONDOMINIO ED PALMA;R ANDRADE FURTADO 2277;COCO;60192085;FORTALEZA;CE;
00148548000183;ITAGUACU;R OSVALDO CRUZ 1380;ALDEOTA;60125048;FORTALEZA;CE;
00154035000185;CONDOMINIO ITAPIPOCA;R DR GILBERTO STUDART 1500;COCO;60192095;FORTALEZA;CE;
00156073000177;CONDOMINIO ED SANTA RITA;R CARLOS SEVERO 105;FARIAS BRITO;60011100;FORTALEZA;CE;
00157478000120;CONDOMINIO ED MONTPELLIERR;R FRANCISCO XEREZ 581;PATRIOLINO RIBEIRO;60810035;FORTALEZA;CE;
00157482000198;CONDOMINIO DO ED STYLO;R ALM RUFINO 1515;MONTESE;60420312;FORTALEZA;CE;
00159948000194;CONDOMINIO ED MAGUARY;R DEP JOAO PONTES 1287;FATIMA;60040430;FORTALEZA;CE;
00160345000102;CONDOMINIO DO ED ANTONIUS III;R CANUTO DE AGUIAR 515;MEIRELES;60160120;FORTALEZA;CE;
00163159000127;CONDOMINIO ED JUREMA;AV ANTONIO JUSTA 2778;MEIRELES;60165090;FORTALEZA;CE;
00164720000192;ANTONIO JOSE;R MONSENHOR BRUNO 1697;ALDEOTA;60115191;FORTALEZA;CE;
00167926000176;CONDOMINIO BELA VISTA;R PAULO FIRMEZA 755;S JOAO DO TAUAPE;60130420;FORTALEZA;CE;
00174195000196;CONDOMINIO ED BELLE VILLE;R BARBOSA DE FREITAS 2560;DIONISIO TORRES;60170174;FORTALEZA;CE;
00179511000112;CONDOMINIO ARVOREDO RESIDENCE;AV CEL MIGUEL DIAS 1411;PATRIOLINO RIBEIRO;60810160;FORTALEZA;CE;
00184229000123;CONDOMINIO MULTI FAMILIAR AUTRAN FILHO;R CONRADO CABRAL 650;MTE CASTELO;60325440;FORTALEZA;CE;
00185220000137;CONDOMINIO DO ED LUZON RESIDENCE SERVICE;R SILVA JATAHY 942;MEIRELES;60165070;FORTALEZA;CE;
00187687000116;EDIFICIO COML P G CENTER II;R S LUIS 609;HENRIQUE JORGE;60521082;FORTALEZA;CE;
00189411000177;CONDOMINIO ED CASTELGANDOLFO;R DR GILBERTO STUDART 920;COCO;60192105;FORTALEZA;CE;
00193827000169;CONDOMINIO SALINAS;R PROF JACINTO BOTELHO 120;PATRIOLINO RIBEIRO;60810050;FORTALEZA;CE;
